Issuance Date/Time (Pacific),Valid Date/Time (Pacific),Stage (Feet),Flow (CFS),Trend,Threshold Exceedance Status,Observed/Forecast
04/02/2025 01:57 PM,03/28/2025 01 PM,11.94,5232,,Normal,Observed
04/02/2025 01:57 PM,03/28/2025 02 PM,11.99,5316,+,Normal,Observed
04/02/2025 01:57 PM,03/28/2025 03 PM,12.01,5350,+,Normal,Observed
04/02/2025 01:57 PM,03/28/2025 04 PM,12.02,5367,+,Normal,Observed
04/02/2025 01:57 PM,03/28/2025 05 PM,12.02,5367,0,Normal,Observed
04/02/2025 01:57 PM,03/28/2025 06 PM,12.05,5418,+,Normal,Observed
04/02/2025 01:57 PM,03/28/2025 07 PM,12.08,5469,+,Normal,Observed
04/02/2025 01:57 PM,03/28/2025 08 PM,12.07,5452,-,Normal,Observed
04/02/2025 01:57 PM,03/28/2025 09 PM,12.05,5418,-,Normal,Observed
04/02/2025 01:57 PM,03/28/2025 10 PM,11.99,5316,-,Normal,Observed
04/02/2025 01:57 PM,03/28/2025 11 PM,11.92,5199,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 12 AM,11.86,5099,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 01 AM,11.80,5001,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 02 AM,11.73,4887,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 03 AM,11.68,4806,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 04 AM,11.63,4726,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 05 AM,11.57,4631,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 06 AM,11.53,4568,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 07 AM,11.46,4459,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 08 AM,11.43,4413,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 09 AM,11.38,4336,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 10 AM,11.36,4305,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 11 AM,11.29,4199,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 12 PM,11.28,4184,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 01 PM,11.23,4109,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 02 PM,11.23,4109,0,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 03 PM,11.19,4050,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 04 PM,11.15,3991,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 05 PM,11.13,3961,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 06 PM,11.09,3903,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 07 PM,11.06,3860,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 08 PM,11.04,3831,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 09 PM,11.01,3788,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 10 PM,10.98,3745,-,Normal,Observed
04/02/2025 01:57 PM,03/29/2025 11 PM,10.96,3716,-,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 12 AM,10.94,3688,-,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 01 AM,10.91,3645,-,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 02 AM,10.89,3617,-,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 03 AM,10.87,3589,-,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 04 AM,10.85,3561,-,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 05 AM,10.83,3534,-,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 06 AM,10.82,3520,-,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 07 AM,10.80,3492,-,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 08 AM,10.79,3478,-,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 09 AM,10.79,3478,0,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 10 AM,10.79,3478,0,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 11 AM,10.80,3492,+,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 12 PM,10.80,3492,0,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 01 PM,10.81,3506,+,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 02 PM,10.80,3492,-,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 03 PM,10.78,3464,-,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 04 PM,10.76,3437,-,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 05 PM,10.75,3423,-,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 06 PM,10.74,3410,-,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 07 PM,10.75,3423,+,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 08 PM,10.81,3506,+,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 09 PM,11.06,3860,+,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 10 PM,11.36,4305,+,Normal,Observed
04/02/2025 01:57 PM,03/30/2025 11 PM,11.82,5034,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 12 AM,12.02,5367,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 01 AM,12.46,6136,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 02 AM,12.74,6651,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 03 AM,12.62,6428,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 04 AM,12.44,6100,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 05 AM,12.43,6082,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 06 AM,12.43,6082,0,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 07 AM,12.37,5975,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 08 AM,12.31,5868,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 09 AM,12.27,5798,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 10 AM,12.26,5780,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 11 AM,12.31,5868,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 12 PM,12.34,5922,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 01 PM,12.33,5904,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 02 PM,12.36,5957,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 03 PM,12.40,6028,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 04 PM,12.42,6064,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 05 PM,12.44,6100,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 06 PM,12.43,6082,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 07 PM,12.42,6064,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 08 PM,12.43,6082,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 09 PM,12.40,6028,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 10 PM,12.40,6028,0,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 11 PM,12.42,6064,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 12 AM,12.49,6190,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 01 AM,12.63,6446,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 02 AM,12.93,7012,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 03 AM,13.29,7720,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 04 AM,13.54,8230,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 05 AM,13.90,8993,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 06 AM,14.15,9541,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 07 AM,14.26,9787,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 08 AM,14.33,9945,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 09 AM,14.34,9968,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 10 AM,14.41,10128,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 11 AM,14.59,10544,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 12 PM,14.75,10920,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 01 PM,15.02,11611,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 02 PM,15.38,12558,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 03 PM,15.63,13226,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 04 PM,15.81,13711,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 05 PM,15.88,13902,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 06 PM,15.92,14011,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 07 PM,15.90,13956,-,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 08 PM,15.83,13766,-,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 09 PM,15.77,13603,-,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 10 PM,15.68,13360,-,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 11 PM,15.61,13172,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 12 AM,15.55,13011,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 01 AM,15.47,12797,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 02 AM,15.47,12797,0,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 03 AM,15.35,12478,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 04 AM,15.27,12267,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 05 AM,15.15,11951,-,Normal,Observed
