,Flow projection
2025-04-03 00:00:00-07:00,7460.472146592439
2025-04-04 00:00:00-07:00,5755.454568712437
2025-04-05 00:00:00-07:00,4524.592513988199
2025-04-06 00:00:00-07:00,3693.634559034264
2025-04-07 00:00:00-07:00,5583.607504271441
2025-04-08 00:00:00-07:00,5578.922322620538
2025-04-09 00:00:00-07:00,4501.072773324286
2025-04-10 00:00:00-07:00,3684.824000519572
2025-04-11 00:00:00-07:00,3060.3847168215675
2025-04-12 00:00:00-07:00,2603.4362837500034
2025-04-13 00:00:00-07:00,2259.1670363572
2025-04-14 00:00:00-07:00,1960.357776616166
2025-04-15 00:00:00-07:00,1738.9006312903878
2025-04-16 00:00:00-07:00,1541.1192748337203
2025-04-17 00:00:00-07:00,1387.02356116998
2025-04-18 00:00:00-07:00,1243.5858887684967
2025-04-19 00:00:00-07:00,1136.3537139547166
2025-04-20 00:00:00-07:00,1029.1215391409364
2025-04-21 00:00:00-07:00,947.7016637019444
2025-04-22 00:00:00-07:00,873.0741135028572
2025-04-23 00:00:00-07:00,798.4796655197866
2025-04-24 00:00:00-07:00,746.5385530617249
2025-04-25 00:00:00-07:00,694.5974406036632
2025-04-26 00:00:00-07:00,642.6563281456015
2025-04-27 00:00:00-07:00,603.4820636546272
2025-04-28 00:00:00-07:00,567.3277359819768
2025-04-29 00:00:00-07:00,531.1734083093264
2025-04-30 00:00:00-07:00,496.77064714208814
2025-05-01 00:00:00-07:00,471.60285756593316
2025-05-02 00:00:00-07:00,446.4350679897782
2025-05-03 00:00:00-07:00,421.2672784136232
2025-05-04 00:00:00-07:00,396.09948883746824
2025-05-05 00:00:00-07:00,378.52552409166526
2025-05-06 00:00:00-07:00,361.00431016202447
2025-05-07 00:00:00-07:00,343.4830962323837
2025-05-08 00:00:00-07:00,325.9618823027429
2025-05-09 00:00:00-07:00,309.72848662461854
2025-05-10 00:00:00-07:00,297.52971638296395
2025-05-11 00:00:00-07:00,285.33094614130937
2025-05-12 00:00:00-07:00,273.1321758996548
2025-05-13 00:00:00-07:00,260.93340565800025
2025-05-14 00:00:00-07:00,248.73463541634567
2025-05-15 00:00:00-07:00,239.61198324335624
2025-05-16 00:00:00-07:00,231.11824516608831
2025-05-17 00:00:00-07:00,222.6245070888204
2025-05-18 00:00:00-07:00,214.13076901155247
2025-05-19 00:00:00-07:00,205.63703093428455
2025-05-20 00:00:00-07:00,197.14329285701663
2025-05-21 00:00:00-07:00,190.38655776597668
2025-05-22 00:00:00-07:00,184.47215860189962
2025-05-23 00:00:00-07:00,178.5577594378226
2025-05-24 00:00:00-07:00,172.64336027374554
2025-05-25 00:00:00-07:00,166.72896110966852
2025-05-26 00:00:00-07:00,160.81456194559146
2025-05-27 00:00:00-07:00,154.9001627815144
2025-05-28 00:00:00-07:00,149.9979765367785
2025-05-29 00:00:00-07:00,145.57819578081575
2025-05-30 00:00:00-07:00,141.15841502485299
2025-05-31 00:00:00-07:00,136.7386342688902
2025-06-01 00:00:00-07:00,132.31885351292743
